ShipmentID,Origin,Destination,Distance,Mode,Weather,Traffic,DepartureTime,Delay
S0042,Hyderabad,Ahmedabad,1106,Truck,Clear,Low,22:57,41
S0043,Chennai,Pune,1632,Flight,Clear,Low,14:37,20
S0044,Kolkata,Hyderabad,1374,Rail,Rain,Low,10:14,76
S0045,Mumbai,Coimbatore,2230,Truck,Clear,High,08:55,62
S0046,Erode,Kolkata,1350,Flight,Clear,Low,00:27,36
S0047,Kolkata,Pune,1889,Flight,Clear,High,12:13,106
S0048,Pune,Bangalore,1627,Flight,Storm,Low,06:51,146
S0049,Delhi,Erode,1666,Flight,Storm,High,12:26,224
S0050,Pune,Delhi,955,Flight,Rain,High,19:19,124
S0051,Bangalore,Erode,2426,Truck,Fog,Medium,00:25,82
S0052,Chennai,Delhi,2107,Truck,Fog,Low,12:19,104
S0053,Erode,Mumbai,1874,Rail,Storm,Medium,22:39,168
S0054,Hyderabad,Bangalore,628,Rail,Storm,Low,12:52,72
S0055,Bangalore,Pune,2173,Truck,Fog,Low,23:27,102
S0056,Chennai,Ahmedabad,643,Flight,Fog,Low,23:33,53
S0057,Coimbatore,Pune,2398,Flight,Fog,High,16:59,149
S0058,Ahmedabad,Chennai,1228,Rail,Storm,Low,07:24,178
S0059,Kolkata,Bangalore,1033,Rail,Clear,Low,07:06,45
S0060,Coimbatore,Chennai,1349,Rail,Storm,Low,11:22,180
S0061,Delhi,Coimbatore,2014,Truck,Fog,High,02:09,88
S0062,Ahmedabad,Bangalore,336,Rail,Rain,High,00:24,85
S0063,Kolkata,Bangalore,1033,Rail,Rain,Low,17:52,59
S0064,Pune,Bangalore,1627,Flight,Storm,Medium,16:56,157
S0065,Pune,Chennai,1632,Flight,Storm,High,19:57,130
S0066,Ahmedabad,Pune,1676,Truck,Clear,Medium,02:18,35
S0067,Bangalore,Chennai,1730,Flight,Storm,Low,22:42,157
S0068,Ahmedabad,Mumbai,1392,Flight,Storm,High,06:19,237
S0069,Ahmedabad,Coimbatore,1910,Flight,Fog,Medium,01:00,114
S0070,Ahmedabad,Bangalore,1853,Flight,Clear,Low,15:41,32
S0071,Kolkata,Chennai,837,Flight,Clear,Low,04:40,13
S0072,Hyderabad,Chennai,2467,Truck,Fog,Medium,01:31,116
S0073,Coimbatore,Ahmedabad,1910,Flight,Fog,Low,07:12,95
S0074,Ahmedabad,Delhi,471,Truck,Clear,Medium,16:52,19
S0075,Hyderabad,Bangalore,184,Truck,Rain,High,07:37,59
S0076,Bangalore,Hyderabad,184,Truck,Clear,Low,05:23,14
S0077,Pune,Hyderabad,809,Rail,Clear,Low,19:27,1
S0078,Hyderabad,Erode,982,Truck,Storm,High,15:40,158
S0079,Erode,Delhi,1666,Flight,Rain,Low,03:12,80
S0080,Ahmedabad,Delhi,924,Flight,Fog,Low,07:12,38
S0081,Pune,Coimbatore,2434,Rail,Fog,Low,15:01,93
S0082,Ahmedabad,Bangalore,336,Rail,Storm,High,06:37,164
S0083,Ahmedabad,Hyderabad,1541,Rail,Fog,Low,13:24,45
S0084,Bangalore,Erode,916,Flight,Fog,Low,11:26,49
S0085,Delhi,Mumbai,1486,Flight,Clear,Low,03:41,28
S0086,Bangalore,Kolkata,1033,Rail,Clear,Low,09:46,49
S0087,Bangalore,Ahmedabad,260,Truck,Rain,Low,01:22,24
S0088,Chennai,Coimbatore,840,Truck,Fog,Low,04:18,51
S0089,Ahmedabad,Pune,1676,Truck,Rain,Medium,22:16,102
S0090,Bangalore,Erode,2426,Truck,Storm,Medium,02:55,170
S0091,Hyderabad,Mumbai,169,Truck,Storm,Medium,14:27,135
S0092,Delhi,Chennai,2107,Truck,Fog,Medium,01:04,83
S0093,Delhi,Ahmedabad,471,Truck,Storm,Low,21:34,130
S0094,Pune,Hyderabad,809,Rail,Fog,Medium,07:21,83
S0095,Kolkata,Ahmedabad,2085,Truck,Clear,Low,12:45,20
S0096,Mumbai,Ahmedabad,2348,Truck,Clear,Low,11:32,54
S0097,Ahmedabad,Chennai,442,Truck,Rain,Medium,07:48,53
S0098,Chennai,Erode,170,Rail,Storm,High,14:08,198
S0099,Kolkata,Chennai,837,Flight,Storm,Low,23:33,146
S0100,Delhi,Erode,1832,Truck,Clear,Medium,00:57,58
S0101,Pune,Kolkata,2211,Truck,Clear,Medium,02:23,51
S0102,Mumbai,Delhi,2107,Rail,Rain,Low,17:10,50
S0103,Pune,Mumbai,1883,Rail,Rain,High,13:56,121
S0104,Kolkata,Ahmedabad,492,Rail,Clear,High,11:31,76
S0105,Kolkata,Ahmedabad,2175,Flight,Rain,Medium,07:26,80
S0106,Erode,Delhi,809,Rail,Clear,High,01:39,44
S0107,Mumbai,Erode,1874,Rail,Storm,Medium,22:55,136
S0108,Ahmedabad,Delhi,471,Truck,Rain,High,20:30,102
S0109,Pune,Coimbatore,1424,Truck,Rain,Medium,06:26,76
S0110,Delhi,Kolkata,311,Rail,Fog,High,01:24,92
S0111,Ahmedabad,Erode,853,Rail,Clear,High,20:22,43
S0112,Bangalore,Erode,2426,Truck,Clear,High,23:53,91
S0113,Chennai,Bangalore,1730,Flight,Fog,Low,02:39,72
S0114,Hyderabad,Kolkata,2089,Flight,Fog,Medium,13:19,74
S0115,Coimbatore,Delhi,2255,Flight,Clear,High,22:42,115
S0116,Delhi,Pune,917,Rail,Clear,Low,02:10,6
S0117,Bangalore,Hyderabad,628,Rail,Clear,Medium,21:17,13
S0118,Kolkata,Bangalore,2247,Flight,Clear,Medium,00:11,44
S0119,Pune,Coimbatore,2434,Rail,Rain,Medium,09:12,60
S0120,Chennai,Bangalore,842,Truck,Fog,Low,04:26,51
S0121,Delhi,Ahmedabad,924,Flight,Storm,High,01:57,222
S0122,Chennai,Erode,1920,Truck,Clear,Medium,00:24,55
S0123,Mumbai,Erode,2190,Flight,Fog,Medium,06:39,85
S0124,Hyderabad,Kolkata,559,Truck,Fog,Low,04:42,52
S0125,Delhi,Bangalore,153,Truck,Clear,Low,00:51,14
S0126,Pune,Ahmedabad,1673,Rail,Fog,Medium,13:20,75
S0127,Coimbatore,Delhi,2255,Flight,Clear,Low,09:48,39
S0128,Delhi,Erode,1666,Flight,Rain,Medium,07:44,87
S0129,Ahmedabad,Delhi,471,Truck,Rain,Medium,02:56,67
S0130,Coimbatore,Bangalore,2141,Rail,Clear,High,19:16,67
S0131,Ahmedabad,Hyderabad,1106,Truck,Rain,High,15:12,174
S0132,Ahmedabad,Chennai,1228,Rail,Rain,High,03:33,146
S0133,Kolkata,Bangalore,169,Truck,Storm,Medium,20:49,145
S0134,Mumbai,Kolkata,1912,Flight,Clear,Medium,12:28,48
S0135,Delhi,Pune,955,Flight,Rain,Medium,22:29,73
S0136,Chennai,Pune,1685,Truck,Rain,Low,17:38,78
S0137,Ahmedabad,Delhi,924,Flight,Fog,Medium,12:16,45
S0138,Pune,Kolkata,2211,Truck,Clear,High,00:36,125
S0139,Coimbatore,Erode,277,Truck,Fog,High,01:42,123
S0140,Pune,Erode,2244,Rail,Clear,Medium,13:56,65
S0141,Bangalore,Kolkata,1033,Rail,Storm,Medium,23:26,192
S0142,Coimbatore,Ahmedabad,1701,Truck,Fog,Low,20:37,101
S0143,Kolkata,Coimbatore,2342,Flight,Fog,High,17:31,140
S0144,Mumbai,Delhi,2107,Rail,Fog,Medium,00:44,120
S0145,Delhi,Chennai,2107,Truck,Fog,Low,12:59,91
S0146,Bangalore,Erode,891,Rail,Rain,High,19:09,124
S0147,Coimbatore,Delhi,906,Rail,Fog,Low,13:32,62
S0148,Chennai,Erode,1973,Flight,Rain,High,23:25,86
S0149,Chennai,Erode,170,Rail,Clear,Low,10:39,4
S0150,Chennai,Delhi,2107,Truck,Fog,High,15:33,178
S0151,Chennai,Mumbai,2164,Truck,Clear,Medium,02:36,40
S0152,Hyderabad,Pune,1781,Flight,Fog,Medium,08:02,102
S0153,Pune,Coimbatore,1424,Truck,Clear,High,07:27,124
S0154,Chennai,Mumbai,1886,Flight,Clear,Medium,22:40,30
S0155,Delhi,Kolkata,1166,Flight,Fog,Medium,20:58,113
S0156,Kolkata,Coimbatore,301,Truck,Storm,Medium,19:12,82
S0157,Delhi,Kolkata,1166,Flight,Rain,Medium,00:10,87
S0158,Chennai,Ahmedabad,643,Flight,Rain,Medium,10:30,72
S0159,Kolkata,Bangalore,1033,Rail,Rain,Low,00:24,62
S0160,Mumbai,Bangalore,1522,Truck,Storm,Medium,21:19,144
S0161,Pune,Coimbatore,1424,Truck,Fog,High,06:30,139
S0162,Mumbai,Erode,1874,Rail,Storm,Low,09:26,118
S0163,Chennai,Pune,1632,Flight,Clear,Medium,02:16,42
S0164,Hyderabad,Bangalore,628,Rail,Storm,Medium,03:36,162
S0165,Mumbai,Delhi,1850,Truck,Clear,Medium,16:45,64
S0166,Pune,Ahmedabad,1676,Truck,Storm,Medium,23:25,131
S0167,Ahmedabad,Pune,1676,Truck,Clear,High,06:58,110
S0168,Ahmedabad,Coimbatore,1910,Flight,Clear,High,09:57,142
S0169,Bangalore,Erode,916,Flight,Clear,Low,22:13,20
S0170,Bangalore,Erode,916,Flight,Clear,Low,22:45,1
S0171,Hyderabad,Delhi,1274,Rail,Clear,High,00:41,90
S0172,Chennai,Ahmedabad,1228,Rail,Storm,Medium,22:20,147
S0173,Pune,Hyderabad,1781,Flight,Fog,High,07:40,101
S0174,Ahmedabad,Chennai,643,Flight,Storm,Medium,03:14,158
S0175,Mumbai,Ahmedabad,2348,Truck,Fog,High,16:36,143
S0176,Hyderabad,Pune,809,Rail,Rain,Low,08:39,38
S0177,Pune,Coimbatore,2434,Rail,Rain,Low,20:40,69
S0178,Bangalore,Ahmedabad,260,Truck,Clear,Low,04:44,2
S0179,Erode,Pune,2429,Flight,Storm,Low,01:35,127
S0180,Erode,Pune,2244,Rail,Rain,High,04:58,88
S0181,Hyderabad,Mumbai,2230,Flight,Rain,High,12:17,156
S0182,Coimbatore,Delhi,906,Rail,Clear,Low,01:03,13
S0183,Delhi,Pune,1611,Truck,Storm,Low,20:23,148
S0184,Pune,Coimbatore,2434,Rail,Clear,High,03:40,119
S0185,Bangalore,Coimbatore,2335,Flight,Clear,Low,15:49,23
S0186,Coimbatore,Erode,1684,Rail,Rain,Low,14:31,56
S0187,Mumbai,Pune,1883,Rail,Storm,High,00:44,163
S0188,Pune,Ahmedabad,1670,Flight,Fog,High,06:24,141
S0189,Pune,Bangalore,1106,Rail,Clear,Low,16:23,34
S0190,Mumbai,Erode,1685,Truck,Clear,Medium,03:31,73
S0191,Bangalore,Pune,1106,Rail,Clear,High,23:53,125
S0192,Hyderabad,Coimbatore,2401,Rail,Storm,High,11:18,199
S0193,Ahmedabad,Hyderabad,1106,Truck,Clear,Low,15:52,37
S0194,Bangalore,Kolkata,1033,Rail,Storm,Medium,12:11,192
S0195,Pune,Erode,2244,Rail,Storm,Medium,02:44,187
S0196,Hyderabad,Chennai,1230,Rail,Fog,Low,11:06,91
S0197,Delhi,Bangalore,153,Truck,Fog,Medium,21:37,51
S0198,Delhi,Bangalore,991,Rail,Rain,Medium,07:35,62
S0199,Chennai,Mumbai,2164,Truck,Storm,Low,08:08,188
S0200,Pune,Kolkata,880,Rail,Rain,Low,21:21,44
S0201,Ahmedabad,Erode,352,Truck,Clear,High,06:50,99
S0202,Pune,Hyderabad,1781,Flight,Rain,Medium,15:36,86
S0203,Pune,Ahmedabad,1673,Rail,Rain,High,16:37,116
S0204,Delhi,Chennai,518,Rail,Clear,High,06:52,47
S0205,Pune,Kolkata,1889,Flight,Rain,Medium,13:27,89
S0206,Bangalore,Pune,1106,Rail,Rain,Medium,13:16,85
S0207,Ahmedabad,Mumbai,1392,Flight,Rain,Low,21:21,44
S0208,Ahmedabad,Coimbatore,1701,Truck,Clear,High,05:03,116
S0209,Bangalore,Hyderabad,628,Rail,Rain,Medium,00:17,63
S0210,Kolkata,Chennai,837,Flight,Rain,High,04:30,84
S0211,Bangalore,Pune,2173,Truck,Clear,Medium,02:46,51
S0212,Coimbatore,Erode,1684,Rail,Fog,Low,06:23,70
S0213,Coimbatore,Erode,277,Truck,Storm,High,17:07,214
S0214,Hyderabad,Coimbatore,2437,Flight,Clear,Low,18:54,47
S0215,Coimbatore,Delhi,2014,Truck,Clear,High,08:35,81
S0216,Chennai,Coimbatore,1349,Rail,Rain,High,20:19,139
S0217,Hyderabad,Mumbai,2230,Flight,Clear,Low,13:49,20
S0218,Kolkata,Coimbatore,906,Rail,Clear,High,21:46,103
S0219,Hyderabad,Chennai,2383,Flight,Rain,High,13:22,100
S0220,Hyderabad,Pune,1781,Flight,Clear,Low,14:23,40
S0221,Bangalore,Ahmedabad,260,Truck,Rain,Low,11:48,36
S0222,Ahmedabad,Hyderabad,1541,Rail,Fog,Medium,15:19,81
S0223,Mumbai,Pune,2274,Truck,Clear,Medium,21:15,44
S0224,Ahmedabad,Pune,1676,Truck,Fog,Medium,06:23,94
S0225,Ahmedabad,Chennai,442,Truck,Fog,High,17:19,89
S0226,Delhi,Bangalore,991,Rail,Fog,Medium,07:03,60
S0227,Ahmedabad,Hyderabad,1541,Rail,Rain,High,14:25,115
S0228,Hyderabad,Pune,535,Truck,Rain,Low,23:23,49
S0229,Mumbai,Hyderabad,169,Truck,Rain,High,16:43,97
S0230,Erode,Mumbai,1874,Rail,Clear,High,02:39,114
S0231,Delhi,Mumbai,1486,Flight,Storm,High,14:23,204
S0232,Bangalore,Pune,2173,Truck,Clear,Medium,14:45,65
S0233,Kolkata,Chennai,1591,Rail,Fog,Low,02:44,44
S0234,Chennai,Ahmedabad,1228,Rail,Storm,Medium,02:03,152
S0235,Kolkata,Delhi,1166,Flight,Clear,Low,06:27,39
S0236,Hyderabad,Delhi,331,Flight,Clear,Medium,16:33,18
S0237,Kolkata,Hyderabad,2089,Flight,Storm,Low,00:18,140
S0238,Mumbai,Ahmedabad,570,Rail,Clear,High,22:51,66
S0239,Pune,Bangalore,2173,Truck,Rain,Medium,14:15,60
S0240,Coimbatore,Hyderabad,2437,Flight,Storm,High,04:46,248
S0241,Chennai,Hyderabad,2383,Flight,Fog,Medium,09:56,77
S0242,Ahmedabad,Pune,1670,Flight,Fog,Low,22:17,92
S0243,Mumbai,Chennai,2164,Truck,Rain,High,06:56,120
S0244,Coimbatore,Mumbai,354,Flight,Clear,High,01:57,66
S0245,Coimbatore,Hyderabad,2080,Truck,Fog,High,22:56,203
S0246,Ahmedabad,Hyderabad,1106,Truck,Fog,Medium,23:15,67
S0247,Coimbatore,Pune,2398,Flight,Storm,Medium,12:57,186
S0248,Ahmedabad,Chennai,643,Flight,Storm,Medium,21:18,156
S0249,Mumbai,Hyderabad,2230,Flight,Fog,Medium,09:27,64
S0250,Hyderabad,Erode,982,Truck,Rain,Medium,21:16,74
S0251,Kolkata,Pune,2211,Truck,Clear,High,03:24,106
S0252,Hyderabad,Mumbai,1448,Rail,Fog,Medium,04:58,105
S0253,Ahmedabad,Kolkata,2085,Truck,Storm,High,01:58,190
S0254,Erode,Kolkata,159,Truck,Rain,Medium,12:32,80
S0255,Ahmedabad,Chennai,442,Truck,Rain,Medium,23:23,49
S0256,Coimbatore,Ahmedabad,170,Rail,Rain,Medium,15:31,34
S0257,Kolkata,Erode,159,Truck,Storm,Medium,23:03,121
S0258,Coimbatore,Pune,2434,Rail,Fog,High,20:01,125
S0259,Ahmedabad,Kolkata,492,Rail,Rain,High,09:43,77
S0260,Coimbatore,Ahmedabad,1910,Flight,Fog,Medium,09:13,82
S0261,Ahmedabad,Bangalore,336,Rail,Clear,High,07:57,36
S0262,Bangalore,Pune,1627,Flight,Fog,Low,20:22,42
S0263,Coimbatore,Hyderabad,2080,Truck,Rain,Low,08:50,82
S0264,Hyderabad,Pune,1781,Flight,Storm,High,19:43,187
S0265,Coimbatore,Delhi,906,Rail,Rain,Low,19:20,35
S0266,Bangalore,Hyderabad,628,Rail,Fog,High,04:26,119
S0267,Hyderabad,Erode,982,Truck,Fog,High,16:34,86
S0268,Coimbatore,Chennai,1034,Flight,Clear,Medium,18:54,52
S0269,Bangalore,Ahmedabad,336,Rail,Rain,Low,23:05,42
S0270,Kolkata,Mumbai,1803,Rail,Fog,Medium,23:30,124
S0271,Coimbatore,Mumbai,354,Flight,Fog,Medium,01:05,83
S0272,Kolkata,Pune,2211,Truck,Clear,Medium,18:48,83
S0273,Mumbai,Ahmedabad,570,Rail,Rain,Medium,04:23,50
S0274,Bangalore,Coimbatore,2341,Truck,Clear,Low,15:25,41
S0275,Chennai,Delhi,2107,Truck,Storm,High,01:57,218
S0276,Coimbatore,Pune,2398,Flight,Rain,High,08:32,145
S0277,Hyderabad,Ahmedabad,1106,Truck,Clear,High,12:08,74
S0278,Ahmedabad,Chennai,442,Truck,Rain,Medium,03:32,58
S0279,Pune,Hyderabad,1781,Flight,Rain,High,17:20,157
S0280,Mumbai,Kolkata,984,Truck,Fog,High,05:28,86
S0281,Erode,Delhi,1832,Truck,Clear,High,22:29,98
S0282,Delhi,Coimbatore,906,Rail,Clear,High,00:04,64
S0283,Coimbatore,Pune,2398,Flight,Clear,High,18:00,111
S0284,Delhi,Bangalore,929,Flight,Fog,Medium,05:12,50
S0285,Coimbatore,Delhi,2255,Flight,Storm,Low,22:19,152
S0286,Bangalore,Chennai,1730,Flight,Fog,Low,06:22,84
S0287,Kolkata,Mumbai,1912,Flight,Fog,Medium,11:31,91
S0288,Mumbai,Kolkata,1912,Flight,Rain,Medium,16:52,89
S0289,Ahmedabad,Delhi,471,Truck,Fog,Medium,08:42,75
S0290,Ahmedabad,Coimbatore,1910,Flight,Rain,Low,18:12,55
S0291,Coimbatore,Ahmedabad,1701,Truck,Clear,High,06:55,106
S0292,Chennai,Ahmedabad,442,Truck,Clear,Low,12:36,2
S0293,Ahmedabad,Pune,1676,Truck,Storm,Medium,13:38,115
S0294,Ahmedabad,Chennai,1228,Rail,Fog,Low,04:34,82
S0295,Kolkata,Delhi,311,Rail,Storm,Medium,22:24,131
S0296,Ahmedabad,Coimbatore,1701,Truck,Clear,High,12:26,106
S0297,Bangalore,Kolkata,169,Truck,Storm,Low,16:46,110
S0298,Pune,Bangalore,2173,Truck,Fog,Medium,09:32,106
S0299,Pune,Erode,2429,Flight,Clear,Low,10:30,47
S0300,Coimbatore,Chennai,1034,Flight,Rain,Medium,08:57,106
S0301,Chennai,Erode,170,Rail,Clear,Medium,09:53,31
S0302,Mumbai,Delhi,2107,Rail,Clear,Medium,11:59,89
S0303,Pune,Bangalore,1627,Flight,Fog,Medium,14:41,70
S0304,Mumbai,Erode,1685,Truck,Rain,Low,05:08,68
S0305,Kolkata,Delhi,146,Truck,Rain,High,19:53,99
S0306,Bangalore,Ahmedabad,260,Truck,Fog,Low,00:04,40
S0307,Kolkata,Chennai,1591,Rail,Clear,Medium,09:42,62
S0308,Bangalore,Coimbatore,2341,Truck,Rain,High,17:53,117
S0309,Erode,Coimbatore,2211,Flight,Fog,Low,09:28,73
S0310,Coimbatore,Bangalore,2141,Rail,Fog,Medium,13:35,119
S0311,Chennai,Delhi,1643,Flight,Clear,Low,10:48,37
S0312,Bangalore,Mumbai,1522,Truck,Storm,Low,20:38,167
S0313,Ahmedabad,Bangalore,1853,Flight,Storm,Medium,06:49,212
S0314,Pune,Coimbatore,2398,Flight,Storm,High,07:20,201
S0315,Coimbatore,Pune,2434,Rail,Rain,Low,01:27,53
S0316,Kolkata,Pune,880,Rail,Clear,High,11:12,70
S0317,Mumbai,Erode,2190,Flight,Fog,High,22:07,180
S0318,Kolkata,Mumbai,1912,Flight,Clear,Medium,21:41,80
S0319,Delhi,Hyderabad,1274,Rail,Clear,High,00:02,90
S0320,Ahmedabad,Bangalore,336,Rail,Clear,Low,15:56,3
S0321,Bangalore,Kolkata,2247,Flight,Storm,High,15:06,244
S0322,Coimbatore,Ahmedabad,1701,Truck,Fog,Medium,05:45,100
S0323,Bangalore,Coimbatore,2335,Flight,Rain,High,03:18,122
S0324,Kolkata,Erode,1350,Flight,Clear,Medium,10:18,77
S0325,Chennai,Hyderabad,2467,Truck,Clear,Low,10:54,36
S0326,Erode,Coimbatore,2211,Flight,Rain,Medium,14:24,108
S0327,Erode,Kolkata,159,Truck,Fog,Medium,23:21,87
S0328,Ahmedabad,Chennai,1228,Rail,Rain,High,09:14,135
S0329,Coimbatore,Hyderabad,2401,Rail,Rain,Medium,17:13,84
S0330,Pune,Mumbai,1883,Rail,Fog,Medium,09:04,85
S0331,Mumbai,Erode,1874,Rail,Fog,Medium,16:47,90
S0332,Erode,Bangalore,916,Flight,Fog,High,17:56,86
S0333,Ahmedabad,Bangalore,336,Rail,Clear,Low,11:31,7
S0334,Pune,Mumbai,2274,Truck,Clear,Medium,16:49,76
S0335,Delhi,Coimbatore,2255,Flight,Rain,Medium,03:45,78
S0336,Kolkata,Ahmedabad,492,Rail,Clear,Medium,19:51,45
S0337,Kolkata,Coimbatore,301,Truck,Rain,High,04:18,116
S0338,Mumbai,Kolkata,1912,Flight,Rain,Low,02:21,42
S0339,Pune,Delhi,955,Flight,Storm,Medium,06:39,169
S0340,Mumbai,Chennai,1886,Flight,Storm,Medium,04:11,182
S0341,Erode,Chennai,1973,Flight,Rain,Low,07:30,74
S0342,Ahmedabad,Pune,1670,Flight,Rain,High,01:41,77
S0343,Kolkata,Mumbai,984,Truck,Rain,High,05:40,90
S0344,Delhi,Kolkata,1166,Flight,Storm,Medium,05:12,142
S0345,Pune,Coimbatore,2398,Flight,Fog,High,17:47,126
S0346,Bangalore,Chennai,1730,Flight,Storm,High,08:11,205
S0347,Ahmedabad,Pune,1676,Truck,Rain,Medium,08:34,74
S0348,Hyderabad,Mumbai,1448,Rail,Fog,High,04:11,136
S0349,Erode,Mumbai,2190,Flight,Storm,Low,02:03,140
S0350,Ahmedabad,Hyderabad,530,Flight,Fog,Low,10:06,37
S0351,Delhi,Pune,1611,Truck,Clear,Low,04:10,43
S0352,Chennai,Kolkata,837,Flight,Fog,Medium,00:09,53
S0353,Kolkata,Coimbatore,2342,Flight,Storm,Medium,19:27,124
S0354,Chennai,Erode,1973,Flight,Storm,Medium,20:38,123
S0355,Bangalore,Kolkata,169,Truck,Rain,High,17:48,79
S0356,Kolkata,Erode,1350,Flight,Fog,Low,10:40,79
S0357,Mumbai,Hyderabad,2230,Flight,Clear,Low,03:47,45
S0358,Mumbai,Erode,1874,Rail,Fog,High,21:14,138
S0359,Pune,Erode,2429,Flight,Storm,Medium,13:31,191
S0360,Mumbai,Delhi,1850,Truck,Storm,Medium,10:40,135
S0361,Mumbai,Pune,2361,Flight,Fog,Medium,21:18,77
S0362,Erode,Pune,2244,Rail,Fog,High,09:21,161
S0363,Ahmedabad,Kolkata,2085,Truck,Clear,Medium,22:04,71
S0364,Kolkata,Delhi,1166,Flight,Clear,Medium,07:31,72
S0365,Delhi,Coimbatore,2014,Truck,Storm,Low,02:09,166
S0366,Bangalore,Ahmedabad,260,Truck,Fog,High,05:02,131
S0367,Pune,Chennai,876,Rail,Fog,Medium,17:33,76
S0368,Kolkata,Coimbatore,301,Truck,Rain,Low,16:48,39
S0369,Kolkata,Hyderabad,559,Truck,Fog,Low,15:50,45
S0370,Mumbai,Erode,1685,Truck,Rain,Low,21:44,68
S0371,Bangalore,Hyderabad,628,Rail,Fog,High,09:54,124
S0372,Mumbai,Chennai,1886,Flight,Storm,Low,01:18,102
S0373,Delhi,Erode,1832,Truck,Storm,High,02:26,189
S0374,Erode,Coimbatore,2211,Flight,Rain,High,00:30,116
S0375,Chennai,Mumbai,2065,Rail,Storm,Medium,11:20,224
S0376,Ahmedabad,Coimbatore,1701,Truck,Fog,Medium,17:49,137
S0377,Hyderabad,Mumbai,1448,Rail,Clear,Medium,22:56,62
S0378,Ahmedabad,Hyderabad,1541,Rail,Rain,High,11:28,156
S0379,Coimbatore,Kolkata,2342,Flight,Rain,Medium,20:35,76
S0380,Mumbai,Coimbatore,1051,Rail,Fog,Low,13:01,67
S0381,Mumbai,Coimbatore,2230,Truck,Rain,High,21:34,96
S0382,Kolkata,Pune,1889,Flight,Rain,Medium,11:10,93
S0383,Bangalore,Ahmedabad,336,Rail,Rain,Medium,22:47,51
S0384,Kolkata,Delhi,146,Truck,Storm,Medium,06:24,118
S0385,Erode,Delhi,1832,Truck,Fog,High,04:57,163
S0386,Hyderabad,Delhi,2403,Truck,Fog,High,09:17,136
S0387,Pune,Delhi,955,Flight,Storm,Low,23:24,93
S0388,Pune,Chennai,876,Rail,Fog,Low,19:18,76
S0389,Ahmedabad,Kolkata,2175,Flight,Clear,Low,15:13,46
S0390,Coimbatore,Erode,2211,Flight,Rain,High,09:54,126
S0391,Hyderabad,Bangalore,628,Rail,Fog,High,06:47,97
S0392,Bangalore,Kolkata,2247,Flight,Rain,Medium,11:56,76
S0393,Hyderabad,Kolkata,2089,Flight,Clear,Medium,09:08,60
